Jahr;Monat;Einspeisung_kWh;Netzbezug_kWh;PV_Erzeugung_kWh;Batterie_Ladung_kWh;Batterie_Entladung_kWh;EAuto_km;EAuto_Verbrauch_kWh;EAuto_Ladung_PV_kWh;EAuto_Ladung_Netz_kWh;Globalstrahlung_kWh_m2;Sonnenstunden;Notizen
2023;6;517,08;1,84;668,54;70,3;50,56;0;0;0;0;;;
2023;7;1179,67;4,43;1571,53;176,82;151,21;0;0;0;0;;;
2023;8;1014,27;4,88;1400,24;194,34;166,74;0;0;0;0;;;
2023;9;1273,4;4,24;1622,29;194,61;167,49;0;0;0;0;;;
2023;10;471,98;38,65;804,61;215,27;202,08;0;0;0;0;;;
2023;11;82,14;154,84;294,28;141,48;135,77;0;0;0;0;;;
2023;12;10,92;364,96;171,8;85,01;73,92;650;125;10;115;;;
2024;1;122,81;333,59;432,86;165,3;148,69;1186;237,27;37;200;;;
2024;2;164,35;261,82;476,23;183,07;164,65;959;191,81;91;100;;;
2024;3;461,1;122,08;979,25;247,51;233,23;1201;240,35;200;41;;;
2024;4;564,72;25,45;1140,2;226,08;214,78;1032;206,55;201;6;;;
2024;5;873,29;22,82;1475,49;225,59;212,61;1002;200,58;195;5;;;
2024;6;1036,34;10,31;1559,33;199,62;192,79;717;143,43;140;3;;;
2024;7;1120,43;12,1;1657,77;194,21;183,88;851;170,36;165;6;;;
2024;8;1228,31;43,6;1772,38;195,89;184,81;1119;223,8;210;14;;;
2024;9;781,13;10,48;1244,02;202,86;191,13;659;131,82;100;31;;;
2024;10;262,54;88,54;761,48;271,57;257,8;876;175,26;110;65;;;
2024;11;135,33;303,18;379,7;134,7;116,05;758;151,69;52;100;;;
2024;12;35,29;357,37;227,94;88,81;68,01;564;112,86;12;100;;;
2025;1;115,61;373,9;383,3;157,3;115,83;974;194,96;24;170;;;
2025;2;319,24;165,63;781,89;236,56;184,74;1111;222,29;32;190;;;
2025;3;1106,2;114,73;1647,26;291,98;236,09;621;124,23;74;50;;;
2025;4;1115,4;46,09;1734,5;256,47;200,62;1036;207,35;167;41;;;
2025;5;1171,87;16,82;1837,58;254,87;205,58;193;38,66;35;4;;;
2025;6;1318,13;9,43;1884,72;210,36;154,59;651;130,25;115;15;;;
2025;7;1051,23;9,73;1642,45;233,19;189,15;801;160,38;155;6;;;
2025;8;1117,5;10,1;1727,63;247,98;193,78;857;171,53;160;11;;;
2025;9;721,12;18,3;1172,37;242,38;194,34;323;64,61;64;1;;;
2025;10;132,83;229,36;569,49;247,04;205,23;1118;223,67;150;74;;;
2025;11;173,16;185,21;541,48;206,04;165,63;574;114,94;40;75;;;
2025;12;125,91;405,5;432,72;168,77;132,41;1205;241,17;21;220;;;
